Layer Name,Weight n°,Shape
conv4_block6_3_bn,2,"(1024,)"
conv4_block6_3_bn,3,"(1024,)"
conv4_block6_3_bn,4,"(1024,)"
conv5_block1_1_conv,1,"(1, 1, 1024, 512)"
conv5_block1_1_conv,2,"(512,)"
conv5_block1_1_bn,1,"(512,)"
conv5_block1_1_bn,2,"(512,)"
conv5_block1_1_bn,3,"(512,)"
conv5_block1_1_bn,4,"(512,)"
conv5_block1_2_conv,1,"(3, 3, 512, 512)"
conv5_block1_2_conv,2,"(512,)"
conv5_block1_2_bn,1,"(512,)"
conv5_block1_2_bn,2,"(512,)"
conv5_block1_2_bn,3,"(512,)"
conv5_block1_2_bn,4,"(512,)"
conv5_block1_0_conv,1,"(1, 1, 1024, 2048)"
conv5_block1_0_conv,2,"(2048,)"
conv5_block1_3_conv,1,"(1, 1, 512, 2048)"
conv5_block1_3_conv,2,"(2048,)"
conv5_block1_0_bn,1,"(2048,)"
conv5_block1_0_bn,2,"(2048,)"
conv5_block1_0_bn,3,"(2048,)"
conv5_block1_0_bn,4,"(2048,)"
conv5_block1_3_bn,1,"(2048,)"
conv5_block1_3_bn,2,"(2048,)"
conv5_block1_3_bn,3,"(2048,)"
conv5_block1_3_bn,4,"(2048,)"
conv5_block2_1_conv,1,"(1, 1, 2048, 512)"
conv5_block2_1_conv,2,"(512,)"
conv5_block2_1_bn,1,"(512,)"
conv5_block2_1_bn,2,"(512,)"
conv5_block2_1_bn,3,"(512,)"
conv5_block2_1_bn,4,"(512,)"
conv5_block2_2_conv,1,"(3, 3, 512, 512)"
conv5_block2_2_conv,2,"(512,)"
conv5_block2_2_bn,1,"(512,)"
conv5_block2_2_bn,2,"(512,)"
conv5_block2_2_bn,3,"(512,)"
conv5_block2_2_bn,4,"(512,)"
conv5_block2_3_conv,1,"(1, 1, 512, 2048)"
conv5_block2_3_conv,2,"(2048,)"
conv5_block2_3_bn,1,"(2048,)"
conv5_block2_3_bn,2,"(2048,)"
conv5_block2_3_bn,3,"(2048,)"
conv5_block2_3_bn,4,"(2048,)"
conv5_block3_1_conv,1,"(1, 1, 2048, 512)"
conv5_block3_1_conv,2,"(512,)"
conv5_block3_1_bn,1,"(512,)"
conv5_block3_1_bn,2,"(512,)"
conv5_block3_1_bn,3,"(512,)"
conv5_block3_1_bn,4,"(512,)"
conv5_block3_2_conv,1,"(3, 3, 512, 512)"
conv5_block3_2_conv,2,"(512,)"
conv5_block3_2_bn,1,"(512,)"
conv5_block3_2_bn,2,"(512,)"
conv5_block3_2_bn,3,"(512,)"
conv5_block3_2_bn,4,"(512,)"
conv5_block3_3_conv,1,"(1, 1, 512, 2048)"
conv5_block3_3_conv,2,"(2048,)"
conv5_block3_3_bn,1,"(2048,)"
conv5_block3_3_bn,2,"(2048,)"
conv5_block3_3_bn,3,"(2048,)"
conv5_block3_3_bn,4,"(2048,)"
